"File","Line","Secret","Reference"
".github\workflows\portal-oauth-redeploy.yml","77","GCP_SA","service_account: ${{ secrets.GCP_SA }}"
".github\workflows\portal-oauth-redeploy.yml","83","GCP_PROJECT","project_id: ${{ secrets.GCP_PROJECT }}"
".github\workflows\post-deploy-certification.yml","23","GITHUB_TOKEN","github-token: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\post-deploy-certification.yml","102","GITHUB_TOKEN","github-token: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\production-readiness-gate.yml","19","GITHUB_TOKEN","github-token: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\ssot-integrity-auditor.yml","31","GITHUB_TOKEN","GH_TOKEN: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\ssot-integrity-auditor.yml","98","GITHUB_TOKEN","github-token: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\TEMPLATE-ci-build.yml","47","GITHUB_TOKEN","password: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\TEMPLATE-ci-security.yml","67","SNYK_TOKEN","SNYK_TOKEN: ${{ secrets.SNYK_TOKEN }}"
".github\workflows\TEMPLATE-security-scans.yml","49","GITHUB_TOKEN","GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}"
".github\workflows\terraform-drift-detection.yml","40","TF_STATE_ACCESS_KEY","AWS_ACCESS_KEY_ID: ${{ secrets.TF_STATE_ACCESS_KEY }}"
".github\workflows\terraform-drift-detection.yml","41","TF_STATE_SECRET_KEY","AWS_SECRET_ACCESS_KEY: ${{ secrets.TF_STATE_SECRET_KEY }}"
".github\workflows\terraform-drift-detection.yml","60","TF_STATE_ACCESS_KEY","AWS_ACCESS_KEY_ID: ${{ secrets.TF_STATE_ACCESS_KEY }}"
".github\workflows\terraform-drift-detection.yml","61","TF_STATE_SECRET_KEY","AWS_SECRET_ACCESS_KEY: ${{ secrets.TF_STATE_SECRET_KEY }}"
